target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,participant_id,as.character(participant_id),"Year-grade-serial key built in the tidier. Independent cross-section each year, so not a person identifier across years.",,
wave,compatible,wave,as.character(wave),"Survey year. Repeated cross-section, not a panel.",,
data_year,compatible,data_year,as.numeric(data_year),"Year of the annual survey administration, 2000-2024.",,
rct_arm,unavailable,,,,,
survey_weight,in_progress,,,,,
survey_strata,in_progress,,,,,
survey_cluster,in_progress,,,,,
age_years,inferred,grade,"recode_values(grade, 8 ~ 14, 10 ~ 16, 12 ~ 18)","No age-in-years item; only over/under-18 (12th grade) and over/under-16 (8th/10th) dichotomies, which support modal US grade ages as constants. A cohort marker, not a continuous moderator.",,
sex,compatible,"sex, data_year","case_when(sex == 1 ~ ""Male"", sex == 2 ~ ""Female"", data_year >= 2022 & sex == 3 ~ ""Other"", .default = ""Unknown"")","Self-reported; Male/Female are codes 1/2 in every year. 2021 code 3 'Other/prefer not to answer' can't be split, so Unknown; 2022+ separates Other (3) from Prefer not to answer (4). -9 (to 2011) becomes Unknown.",,
country,inferred,,"""USA""",MTF samples US schools only.,,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,proximate,race,"coalesce(
  lookup_values(
    race,
    lookup_ethnicity,
    dataset_id = spec$dataset_id,
    target_variable = ""ethnicity"",
    default = ""Unknown""
  ),
  ""Unknown""
)","Recoded race only, resolved to labels in the tidier: 0/1 White/Black to 2004 (no Hispanic category), then 1/2/3 Black/White/Hispanic. Proximate: other groups are set to missing in the source, so Unknown mixes non-response with unlisted groups. Outer coalesce() because lookup_values() defaults only unmatched non-missing values.",ethnicity,
indigenous,incompatible,race,,"2018+ question offers Indigenous categories, but only the Black/White/Hispanic recode is released; those respondents are missing.",,
minority,proximate,race,"recode_values(race, ""White"" ~ ""Non-minority"", c(""Black"", ""Hispanic"") ~ ""Minority"", default = ""Unknown"")","Recoded race, White as the US majority group. Proximate; see ethnicity.",,
immigrant_background,unavailable,,,No birthplace items.,,
born_in_country,in_progress,,,,,
ses_area,unavailable,,,,,
ses_household,unavailable,,,"No household income, affluence or wealth item. Parental education only; see maternal_education, paternal_education, parental_education.",,
ses_household_measure,unavailable,,,No ses_household to describe.,,
ses_hukou,unavailable,,,Not a Chinese dataset.,,
