source_value,harmonised_value,indigenous,notes
ASIAN AND INDIAN,Asian,,Australia (n=1). Asian.
AUSTRALIAN AND ASIAN,Asian,,Australia (n=1). Asian; site nationality uninformative.
CHAOXIAN,Asian,,China (n=3). Korean (Chaoxian) nationality of China.
INDIAN AND ASIAN,Asian,,Australia (n=1). Asian.
INDIAN-HINDU - CHRISTIAN,Asian,,India (n=1). Indian.
MAN,Asian,,China (n=2). Manchu nationality of China.
MONGOLIAN,Asian,,China (n=1). Mongol nationality of China.
SOUTH ASIAN,Asian,,Canada (n=1). South Asian.
VIETNAMESE,Asian,,Australia (n=1). Asian national origin.
AFRICAN CANADIAN,Black,,Canada (n=2). Black.
AFRO-CANADIAN,Black,,Canada (n=1). Black.
CONGO,Black,,South Africa (n=1). Black African origin.
EAST-AFRICAN,Black,,Canada (n=1). Black African origin.
GRENADIAN,Black,,Canada (n=1). Black Caribbean origin.
HAITIAN AFRICAN,Black,,Canada (n=1). Haitian (Black Caribbean) origin.
HATIAN,Black,,Canada (n=2). Haitian (Black Caribbean) origin.
NEGRO,Black,,Portugal (n=1). Black.
SOMALIAN,Black,,"Canada, Finland (n=9). Black African origin."
WEST INDIAN,Black,,Canada (n=1). Caribbean origin (ALLETH Caribbean is Black).
XHOSA,Black,,South Africa (n=1). Black South African.
AUSTRALIAN/LATIN AMERICAN,Other,,"Australia (n=1). Latin American origin, no race stated; Hispanic is US/Canada only."
CAUCASIAN AND HISPANIC,Hispanic,,Canada (n=1). Hispanic origin first.
CHILEAN - SPANISH,Unknown,,UK (n=1). Nationalities only.
EAST INDIAN AND HISPANIC,Hispanic,,Canada (n=1). Hispanic origin first.
EUROPEAN AND SOUTH AMERICAN,Mixed,,Australia (n=1). White and Latin American; Hispanic is US/Canada only.
HISPANIC AND NATIVE AMERICAN OF MEXICO,Hispanic,,US (n=1). Hispanic origin first.
HISPANIC AND WHITE,Hispanic,,Canada (n=1). Hispanic origin first.
HISPANIC/LATINO,Other,,"Canada, US (n=9) already Hispanic via the Hispanic item; Australia (n=2) has no race stated and Hispanic is US/Canada only, so Other."
MEXICAN,Hispanic,,US (n=1). Mexican origin.
SPANISH,Hispanic,,US (n=1). US site; Spanish origin is a Hispanic origin.
URUGUAY,Unknown,,Australia (n=1). Bare nationality; Hispanic is US/Canada only.
VENEZUELAN/WHITE,Hispanic,,US (n=1). Venezuelan origin; Hispanic origin first.
